id, TFT, TEC, level, cd
0,1762.747314,19558.871094,1,inf
1,5335.000000,9191.000000,1,inf
2,1762.747314,19558.871094,1,inf
3,1857.961548,16193.344727,1,0.319966
4,1809.564087,19194.855469,1,0.351265
5,4332.429199,10625.152344,1,0.323887
6,2188.969238,14209.230469,1,0.056249
7,2002.141479,15888.419922,1,0.218861
8,3252.810547,11911.512695,1,0.233766
9,3685.991943,10878.030273,1,0.060277
10,3019.209961,12697.537109,1,0.179181
11,3395.520996,11366.056641,1,0.138836
12,4965.461426,9395.584961,1,0.092340
13,2994.355957,13019.112305,1,0.085272
14,3662.914795,10979.860352,1,0.078297
15,5148.000000,9228.000000,1,0.075202
16,2814.134277,13319.193359,1,0.150123
17,5086.000000,9248.000000,1,0.067263
18,2852.647461,13098.201172,1,0.079394
19,2393.329590,13882.534180,1,0.114504
20,1944.653687,16058.828125,1,0.052855
21,1885.119751,16096.775391,1,0.037243
22,2441.703613,13461.964844,1,0.172133
23,3481.049805,11094.993164,1,0.065826
24,3839.112549,10866.296875,1,0.205351
25,3471.407471,11106.522461,1,0.050087
26,4876.384766,9597.000000,1,0.133271
27,4586.000000,9676.000000,1,0.251440
28,2165.931396,14431.923828,1,0.214261
29,2194.938965,13932.934570,1,0.088718
