id, TFT, TEC, level, cd
0,1762.747314,19558.871094,1,inf
1,5335.000000,9191.000000,1,inf
2,1762.747314,19558.871094,1,inf
3,1857.961548,16193.344727,1,0.319966
4,1809.564087,19194.855469,1,0.317187
5,4332.429199,10625.152344,1,0.302798
6,2188.969238,14209.230469,1,0.268293
7,2002.141479,15888.419922,1,0.246790
8,3252.810547,11911.512695,1,0.233766
9,3685.991943,10878.030273,1,0.215408
10,4617.352539,10441.780273,1,0.209999
11,3019.209961,12697.537109,1,0.179181
12,4838.461426,9916.584961,1,0.156336
13,3395.520996,11366.056641,1,0.133557
14,2529.900879,13666.349609,1,0.117353
15,2797.527100,13649.820312,1,0.113051
16,3523.787598,11313.280273,1,0.112102
17,4965.461426,9395.584961,1,0.089998
18,2377.284180,14195.578125,1,0.088718
19,4914.384766,9683.000000,1,0.085803
20,2994.355957,13019.112305,1,0.085272
21,3662.914795,10979.860352,1,0.077331
22,5148.000000,9228.000000,1,0.075202
23,2814.134277,13319.193359,1,0.068337
24,5086.000000,9248.000000,1,0.067263
25,2852.647461,13098.201172,1,0.061282
26,2450.797363,13860.191406,1,0.059083
27,2393.329590,13882.534180,1,0.052928
28,1944.653687,16058.828125,1,0.052855
29,1885.119751,16096.775391,1,0.037243
