id, TFT, TEC, level, cd
0,5304.000000,9032.000000,1,inf
1,-65.000000,10106.793945,1,inf
2,640.769226,9554.799805,1,0.508424
3,972.000000,9283.799805,1,0.389640
4,616.000000,9758.984375,1,0.307932
5,222.384613,9939.793945,1,0.284529
6,1379.000000,9283.799805,1,0.279414
7,1578.000000,9104.799805,1,0.203981
8,590.000000,9875.599609,1,0.165916
9,427.518951,9899.579102,1,0.128197
10,4433.000000,9032.000000,1,0.119575
11,2354.000000,9042.799805,1,0.114369
12,3899.000000,9032.000000,1,0.109145
13,3570.000000,9032.000000,1,0.105606
14,4156.000000,9032.000000,1,0.099460
15,3078.000000,9032.000000,1,0.096843
16,4798.000000,9032.000000,1,0.093127
17,3332.000000,9032.000000,1,0.091637
18,1930.000000,9082.646484,1,0.080772
19,2613.000000,9042.799805,1,0.079903
20,2198.000000,9082.646484,1,0.074511
21,4933.000000,9032.000000,1,0.070777
22,5178.000000,9032.000000,1,0.069100
23,2866.000000,9042.799805,1,0.051024
24,1830.000000,9104.799805,1,0.050412
25,2153.000000,9082.646484,1,0.049916
26,2783.000000,9042.799805,1,0.045632
27,1680.000000,9104.799805,1,0.035388
28,1770.000000,9104.799805,1,0.027938
29,1580.000000,9104.799805,1,0.018998
