id, TFT, TEC, level, cd
0,645.299316,12407.721680,1,inf
1,4834.000000,9032.000000,1,inf
2,1532.000000,10799.000000,1,0.389920
3,1376.313721,11270.342773,1,0.340139
4,937.401917,11468.021484,1,0.303840
5,1574.000000,10113.400391,1,0.238800
6,834.184937,11988.086914,1,0.207610
7,1645.000000,9405.000000,1,0.191158
8,926.569580,11933.568359,1,0.178702
9,1625.153809,9848.785156,1,0.177629
10,2249.000000,9317.000000,1,0.117434
11,2492.000000,9251.000000,1,0.112761
12,3899.000000,9032.000000,1,0.105140
13,4156.000000,9032.000000,1,0.104090
14,3345.000000,9042.799805,1,0.099094
15,3676.000000,9042.799805,1,0.094874
16,1766.000000,9317.000000,1,0.090050
17,4633.000000,9032.000000,1,0.081171
18,4335.000000,9032.000000,1,0.080693
19,2082.000000,9317.000000,1,0.080216
20,1913.000000,9317.000000,1,0.075441
21,2772.000000,9216.000000,1,0.071246
22,4494.000000,9032.000000,1,0.071144
23,2596.000000,9216.000000,1,0.069216
24,3260.923096,9075.200195,1,0.068341
25,3729.000000,9042.799805,1,0.062837
26,3133.000000,9102.646484,1,0.062783
27,2851.000000,9208.000000,1,0.060121
28,1607.000000,9974.000000,1,0.059713
29,3032.000000,9102.646484,1,0.055106
