id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,645.299316,12407.721680,1,inf
2,1556.313477,11207.790039,1,0.420806
3,1585.000000,10018.000000,1,0.419017
4,937.401917,11468.021484,1,0.303840
5,1376.313721,11270.342773,1,0.224847
6,834.184937,11988.086914,1,0.207610
7,1625.153809,9848.785156,1,0.195915
8,1645.000000,9405.000000,1,0.191158
9,926.569580,11933.568359,1,0.178702
10,2249.000000,9317.000000,1,0.117434
11,2492.000000,9251.000000,1,0.112761
12,3345.000000,9042.799805,1,0.109886
13,4156.000000,9032.000000,1,0.104090
14,1766.000000,9317.000000,1,0.090050
15,3899.000000,9032.000000,1,0.086423
16,3681.000000,9042.799805,1,0.085564
17,4633.000000,9032.000000,1,0.084370
18,4335.000000,9032.000000,1,0.080693
19,2596.000000,9216.000000,1,0.077215
20,4494.000000,9032.000000,1,0.071144
21,3260.923096,9075.200195,1,0.068341
22,2772.000000,9216.000000,1,0.063248
23,3133.000000,9102.646484,1,0.062783
24,1913.000000,9317.000000,1,0.061117
25,3032.000000,9102.646484,1,0.055106
26,2082.000000,9317.000000,1,0.054193
27,2851.000000,9208.000000,1,0.050572
28,3794.000000,9032.000000,1,0.049896
29,2952.000000,9142.799805,1,0.045079
