id, TFT, TEC, level, cd
0,1607.229736,16748.906250,1,inf
1,4834.000000,9032.000000,1,inf
2,1753.277222,13508.773438,1,0.653806
3,1843.944336,12269.658203,1,0.265511
4,3099.197510,10865.035156,1,0.214916
5,3203.685059,9814.425781,1,0.203589
6,1914.197510,11844.698242,1,0.194031
7,3426.000000,9149.000000,1,0.183904
8,3279.307617,9724.693359,1,0.155127
9,2163.791016,11537.264648,1,0.141826
10,2768.505127,10890.776367,1,0.111230
11,3632.000000,9149.000000,1,0.110637
12,4464.000000,9032.000000,1,0.109087
13,2209.202637,11052.362305,1,0.108620
14,2949.505127,10865.035156,1,0.105820
15,2605.505127,10900.698242,1,0.094272
16,4742.000000,9032.000000,1,0.090803
17,4055.089355,9148.400391,1,0.085014
18,2177.791016,11380.629883,1,0.076910
19,4242.000000,9032.000000,1,0.072518
20,3829.000000,9149.000000,1,0.070144
21,4390.000000,9032.000000,1,0.068799
22,2484.505127,10939.067383,1,0.065467
23,3783.000000,9149.000000,1,0.061052
24,2379.812500,11025.555664,1,0.060494
25,4156.000000,9032.000000,1,0.048842
26,2410.505127,10939.555664,1,0.037124
27,4113.000000,9100.400391,1,0.031487
28,4757.000000,9032.000000,1,0.028511
29,4083.000000,9100.400391,1,0.024167
