id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,834.184937,11988.086914,1,inf
2,2125.692383,9719.722656,1,0.418577
3,1216.761475,11677.464844,1,0.336801
4,1729.193604,10594.798828,1,0.316486
5,2249.000000,9317.000000,1,0.287984
6,2073.585693,10424.708984,1,0.267528
7,1376.313721,11270.342773,1,0.243776
8,1661.238037,11102.861328,1,0.209551
9,926.569580,11933.568359,1,0.200727
10,2596.000000,9216.000000,1,0.164923
11,2072.000000,10470.876953,1,0.143641
12,3690.000000,9032.000000,1,0.115909
13,4156.000000,9032.000000,1,0.109005
14,1556.313477,11207.790039,1,0.107200
15,3345.000000,9042.799805,1,0.093658
16,3899.000000,9032.000000,1,0.090504
17,3052.000000,9208.000000,1,0.071391
18,3260.923096,9075.200195,1,0.069498
19,4335.000000,9032.000000,1,0.067253
20,2772.000000,9216.000000,1,0.066459
21,1617.880127,11131.981445,1,0.061728
22,4561.000000,9032.000000,1,0.061253
23,4425.000000,9032.000000,1,0.056503
24,3081.000000,9102.646484,1,0.055890
25,3133.000000,9102.646484,1,0.054268
26,3794.000000,9032.000000,1,0.052252
27,2938.000000,9208.000000,1,0.050252
28,4670.000000,9032.000000,1,0.045252
29,2851.000000,9208.000000,1,0.044208
