id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,1607.229736,16748.906250,1,inf
2,4332.429199,10625.152344,1,0.431356
3,3839.112549,10866.296875,1,0.233105
4,1844.766479,16422.980469,1,0.193994
5,3019.209961,12697.537109,1,0.174383
6,2809.520508,13206.994141,1,0.160384
7,2431.067383,13327.650391,1,0.157607
8,3376.737793,11025.708984,1,0.067104
9,2002.141479,15888.419922,1,0.177843
10,1944.653687,16058.828125,1,0.118043
11,3685.991943,10878.030273,1,0.106082
12,2994.355957,13019.112305,1,0.103539
13,4757.000000,9032.000000,1,0.114666
14,2852.647461,13098.201172,1,0.081629
15,3538.871094,10966.888672,1,0.073171
16,2405.062500,13455.958008,1,0.135212
17,3252.810547,11911.512695,1,0.135991
18,3498.089600,10993.309570,1,0.057869
19,3196.474121,12084.205078,1,0.041148
20,4464.000000,9032.000000,1,0.338027
21,2143.033936,13682.230469,1,0.302135
22,3345.040527,11145.124023,1,0.153193
23,2081.891846,15014.637695,1,0.329554
24,3176.671387,12109.429688,1,0.134414
25,3237.699707,11937.848633,1,0.039838
26,1871.457642,16574.974609,2,inf
27,4530.000000,9059.000000,2,inf
28,4530.000000,9340.000000,2,inf
29,3814.112549,10969.337891,2,0.528854
