id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,834.184937,11988.086914,1,inf
2,2125.692383,9719.722656,1,0.422618
3,1216.761475,11677.464844,1,0.378341
4,1729.193604,10594.798828,1,0.316486
5,2073.585693,10424.708984,1,0.267528
6,1661.238037,11102.861328,1,0.250588
7,1376.313721,11270.342773,1,0.243776
8,2414.000000,9427.000000,1,0.216261
9,2072.000000,10470.876953,1,0.143641
10,1556.313477,11207.790039,1,0.127891
11,2573.076904,9411.077148,1,0.116880
12,2596.000000,9216.000000,1,0.115725
13,4156.000000,9032.000000,1,0.109005
14,3345.000000,9042.799805,1,0.098158
15,3899.000000,9032.000000,1,0.090504
16,3690.000000,9032.000000,1,0.089504
17,4561.000000,9032.000000,1,0.079254
18,4742.000000,9032.000000,1,0.071907
19,3052.000000,9208.000000,1,0.068328
20,4335.000000,9032.000000,1,0.067253
21,2772.000000,9216.000000,1,0.066459
22,3145.000000,9159.000000,1,0.065711
23,3235.000000,9149.000000,1,0.058888
24,4425.000000,9032.000000,1,0.056503
25,2938.000000,9208.000000,1,0.050252
26,3794.000000,9032.000000,1,0.047752
27,2851.000000,9208.000000,1,0.044208
28,3267.153809,9075.200195,1,0.033062
29,3312.000000,9042.799805,1,0.030365
