id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,1607.229736,16748.906250,1,inf
2,4332.429199,10625.152344,1,0.411897
3,4530.000000,9340.000000,1,0.274172
4,2144.073242,15495.552734,1,0.239501
5,3839.112549,10866.296875,1,0.233105
6,2165.931396,14431.923828,1,0.212608
7,1844.766479,16422.980469,1,0.193994
8,3019.209961,12697.537109,1,0.162038
9,2809.520508,13206.994141,1,0.160384
10,2431.067383,13327.650391,1,0.157607
11,3362.283203,11788.748047,1,0.153193
12,3376.737793,11025.708984,1,0.145165
13,2175.552002,13930.160156,1,0.138082
14,2002.141479,15888.419922,1,0.134794
15,3178.671387,12209.473633,1,0.134414
16,1944.653687,16058.828125,1,0.118043
17,3685.991943,10878.030273,1,0.106082
18,2994.355957,13019.112305,1,0.103539
19,2346.395020,13797.941406,1,0.091341
20,4757.000000,9032.000000,1,0.085515
21,2852.647461,13098.201172,1,0.081629
22,3538.871094,10966.888672,1,0.073171
23,2405.062500,13455.958008,1,0.065921
24,3252.810547,11911.512695,1,0.062565
25,2404.351562,13772.468750,1,0.062498
26,4635.000000,9216.000000,1,0.058587
27,3498.089600,10993.309570,1,0.057869
28,4635.000000,9233.000000,1,0.053877
29,3196.474121,12084.205078,1,0.048858
