id, TFT, TEC, level, cd
0,5304.000000,9032.000000,1,inf
1,-342.000000,10036.793945,1,inf
2,222.384613,9939.793945,1,0.515758
3,413.000000,9284.799805,1,0.397401
4,261.000000,9625.876953,1,0.388233
5,347.000000,9571.876953,1,0.366372
6,1119.000000,9237.799805,1,0.188680
7,972.000000,9283.799805,1,0.171820
8,1481.000000,9184.799805,1,0.120051
9,1526.000000,9104.799805,1,0.111676
10,2354.000000,9042.799805,1,0.107156
11,3899.000000,9032.000000,1,0.103790
12,3570.000000,9032.000000,1,0.100425
13,4156.000000,9032.000000,1,0.094580
14,1499.000000,9184.799805,1,0.087589
15,3332.000000,9032.000000,1,0.087141
16,1906.000000,9082.646484,1,0.084198
17,3078.000000,9032.000000,1,0.082536
18,5178.000000,9032.000000,1,0.076459
19,2866.000000,9042.799805,1,0.076337
20,4933.000000,9032.000000,1,0.073326
21,2008.000000,9042.799805,1,0.070315
22,2613.000000,9042.799805,1,0.062643
23,1830.000000,9104.799805,1,0.062076
24,1957.000000,9042.799805,1,0.057722
25,1680.000000,9104.799805,1,0.053843
26,4433.000000,9032.000000,1,0.050478
27,4558.000000,9032.000000,1,0.045165
28,2647.000000,9042.799805,1,0.044810
29,4764.000000,9032.000000,1,0.040914
