id, TFT, TEC, level, cd
0,5148.000000,9228.000000,1,-nan
1,1886.190552,19797.636719,1,-nan
2,inf,-nan,1,inf
3,inf,-nan,1,-nan
4,inf,-nan,1,-nan
5,inf,-nan,1,-nan
6,inf,-nan,1,-nan
7,inf,-nan,1,-nan
8,inf,-nan,1,-nan
9,inf,-nan,1,-nan
10,inf,-nan,1,-nan
11,inf,-nan,1,-nan
12,inf,-nan,1,-nan
13,inf,-nan,1,-nan
14,2025.205444,14107.396484,1,inf
15,inf,-nan,1,-nan
16,5017.615234,9499.015625,1,-nan
17,3976.844727,12188.513672,1,-nan
18,3369.258789,12608.716797,1,-nan
19,4170.528809,12089.890625,1,-nan
20,3522.980713,12371.012695,1,-nan
21,2955.934326,13463.881836,1,-nan
22,3197.988525,13126.312500,1,-nan
23,2163.002686,16102.989258,2,inf
24,3535.788086,12391.658203,2,inf
25,2547.852051,15493.661133,2,0.652433
26,3412.454102,13111.316406,2,0.580087
27,3376.708984,14114.483398,2,0.470183
28,3190.275146,14255.661133,2,0.437543
29,3040.791260,14830.194336,2,0.379780
