id, TFT, TEC, level, cd
0,1607.229736,16748.906250,1,inf
1,4834.000000,9032.000000,1,inf
2,2949.505127,10865.035156,1,0.046509
3,2353.871094,13261.656250,1,0.132493
4,2665.671387,12132.899414,1,0.271338
5,2626.561035,12531.883789,1,0.131841
6,4028.000000,9343.599609,1,0.146014
7,3352.904785,10756.715820,1,0.238325
8,4464.000000,9032.000000,1,0.154996
9,3817.000000,9360.599609,1,0.169270
10,4757.000000,9032.000000,1,0.114666
11,2186.341064,13303.049805,1,0.072087
12,2047.342651,13323.049805,1,0.146064
13,3212.270264,10805.979492,1,0.012863
14,2578.358398,12941.494141,1,0.070400
15,3916.000000,9343.599609,1,0.067593
16,3099.197510,10865.035156,1,0.044649
17,3048.197510,10865.035156,1,0.045615
18,2818.505127,10897.035156,1,0.252259
19,2477.453857,12976.818359,1,0.108677
20,2570.903809,12942.044922,1,0.035849
21,3212.270264,10805.979492,1,0.049968
22,4296.000000,9125.599609,1,0.175498
23,3503.351562,9662.977539,1,0.324743
24,2138.571777,13303.049805,1,0.045668
25,1753.277222,13508.773438,1,0.580336
26,3192.270264,10857.408203,1,0.042695
27,2955.197510,10865.035156,1,0.030585
28,1760.618530,13983.950195,2,inf
29,4655.000000,9201.523438,2,inf
