id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,1607.229736,16748.906250,1,inf
2,1753.277222,13508.773438,1,0.549476
3,3352.904785,10756.715820,1,0.238325
4,3503.351562,9662.977539,1,0.238935
5,3817.000000,9360.599609,1,0.169270
6,4464.000000,9032.000000,1,0.154996
7,3503.351562,9662.977539,1,0.085808
8,4757.000000,9032.000000,1,0.114666
9,2818.505127,10897.035156,1,0.201852
10,4265.000000,9125.599609,1,0.052374
11,4296.000000,9125.599609,1,0.073801
12,3916.000000,9343.599609,1,0.079565
13,3212.270264,10805.979492,1,0.092662
14,2047.342651,13323.049805,1,0.043563
15,2949.505127,10865.035156,1,0.075330
16,3048.197510,10865.035156,1,0.046391
17,3099.197510,10865.035156,1,0.058500
18,2366.113525,12659.156250,1,0.383556
19,4096.000000,9125.599609,1,0.067272
20,4006.000000,9198.599609,1,0.069135
21,2048.403320,13227.562500,1,0.184821
22,4265.000000,9125.599609,1,0.009607
23,1969.610718,13375.297852,1,0.115200
24,2420.505127,11157.587891,1,0.368545
25,4068.000000,9173.599609,1,0.037351
26,4539.000000,9125.599609,2,inf
27,1987.101440,13532.608398,2,inf
28,2626.561035,12531.883789,2,0.587359
29,2656.505127,11176.016602,2,0.452997
