id, TFT, TEC, level, cd
0,1504.858765,12238.589844,1,inf
1,4834.000000,9032.000000,1,inf
2,2073.585693,10424.708984,1,0.422024
3,2125.692383,9719.722656,1,0.413396
4,2414.000000,9427.000000,1,0.355072
5,1864.398193,11717.856445,1,0.304859
6,1629.560669,11832.253906,1,0.270392
7,1920.460693,11134.888672,1,0.227526
8,2068.202637,11017.606445,1,0.206026
9,2926.000000,9352.000000,1,0.182890
10,3897.000000,9042.799805,1,0.112068
11,4156.000000,9032.000000,1,0.106998
12,4561.000000,9032.000000,1,0.095220
13,3132.076904,9306.077148,1,0.084519
14,3623.000000,9149.000000,1,0.083805
15,4742.000000,9032.000000,1,0.082003
16,3064.000000,9352.000000,1,0.070515
17,3145.000000,9159.000000,1,0.067277
18,3235.000000,9149.000000,1,0.066799
19,3426.000000,9149.000000,1,0.063380
20,2007.129395,11125.750977,1,0.061444
21,4242.000000,9032.000000,1,0.061277
22,4425.000000,9032.000000,1,0.060376
23,3412.000000,9149.000000,1,0.059483
24,4360.000000,9032.000000,1,0.054969
25,2052.097168,11064.652344,1,0.052071
26,3748.000000,9139.000000,1,0.045057
27,3881.000000,9139.000000,1,0.043855
28,2945.000000,9352.000000,1,0.041452
29,3705.000000,9139.000000,1,0.035559
