id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,645.299316,12407.721680,1,inf
2,1532.000000,10799.000000,1,0.420806
3,1376.313721,11270.342773,1,0.340139
4,937.401917,11468.021484,1,0.303840
5,1585.000000,10018.000000,1,0.262298
6,834.184937,11988.086914,1,0.207610
7,1645.000000,9405.000000,1,0.191158
8,926.569580,11933.568359,1,0.178702
9,1625.153809,9848.785156,1,0.177629
10,3676.000000,9042.799805,1,0.135460
11,3899.000000,9032.000000,1,0.117793
12,2249.000000,9317.000000,1,0.117434
13,2492.000000,9251.000000,1,0.112761
14,3345.000000,9042.799805,1,0.108692
15,4156.000000,9032.000000,1,0.104090
16,1766.000000,9317.000000,1,0.090050
17,4633.000000,9032.000000,1,0.081171
18,4335.000000,9032.000000,1,0.080693
19,2082.000000,9317.000000,1,0.080216
20,2596.000000,9216.000000,1,0.077215
21,1913.000000,9317.000000,1,0.075441
22,4494.000000,9032.000000,1,0.071144
23,3260.923096,9075.200195,1,0.068341
24,2772.000000,9216.000000,1,0.063248
25,3133.000000,9102.646484,1,0.062783
26,1607.000000,9974.000000,1,0.059713
27,3032.000000,9102.646484,1,0.055106
28,2851.000000,9208.000000,1,0.048662
29,2952.000000,9142.799805,1,0.045079
