id, TFT, TEC, level, cd
0,1607.229736,16748.906250,1,inf
1,4834.000000,9032.000000,1,inf
2,1760.618530,13983.950195,1,0.437896
3,2924.474121,12084.845703,1,0.176916
4,2949.505127,10865.035156,1,0.167591
5,3675.698975,10100.234375,1,0.155555
6,2353.871094,13261.656250,1,0.149145
7,1995.721069,13615.536133,1,0.142440
8,3801.000000,9977.291992,1,0.139636
9,2665.671387,12132.899414,1,0.139166
10,2626.561035,12531.883789,1,0.131841
11,4028.000000,9343.599609,1,0.128703
12,3352.904785,10756.715820,1,0.126092
13,4464.000000,9032.000000,1,0.124746
14,1777.548950,13777.030273,1,0.120601
15,3817.000000,9360.599609,1,0.117757
16,4757.000000,9032.000000,1,0.114666
17,2568.589111,13066.264648,1,0.111059
18,3596.270264,10688.079102,1,0.108982
19,2186.341064,13303.049805,1,0.102951
20,2047.342651,13323.049805,1,0.099568
21,4302.044922,9273.644531,1,0.097586
22,3212.270264,10805.979492,1,0.092662
23,2578.358398,12941.494141,1,0.087214
24,2890.465820,12089.087891,1,0.086432
25,3571.394775,10691.794922,1,0.084315
26,3916.000000,9343.599609,1,0.067593
27,4445.077148,9248.677734,1,0.058698
28,3099.197510,10865.035156,1,0.058500
29,3048.197510,10865.035156,1,0.044627
