id, TFT, TEC, level, cd
0,139.062469,11829.241211,1,inf
1,5304.000000,9032.000000,1,inf
2,913.236084,10916.486328,1,0.466419
3,950.846130,9928.538086,1,0.375856
4,448.749390,11517.386719,1,0.281116
5,722.241821,11200.164062,1,0.198799
6,2783.000000,9042.799805,1,0.193215
7,1257.000000,9807.369141,1,0.172598
8,333.715851,11776.093750,1,0.171446
9,1433.692383,9664.200195,1,0.164913
10,850.303101,11178.771484,1,0.138392
11,3332.000000,9032.000000,1,0.136110
12,1580.000000,9521.000000,1,0.133575
13,4433.000000,9032.000000,1,0.124300
14,1645.000000,9405.000000,1,0.120942
15,3899.000000,9032.000000,1,0.113457
16,2354.000000,9042.799805,1,0.105418
17,4156.000000,9032.000000,1,0.103389
18,982.000000,9902.369141,1,0.102593
19,4798.000000,9032.000000,1,0.096807
20,2244.000000,9141.799805,1,0.092701
21,1687.000000,9240.646484,1,0.076955
22,5178.000000,9032.000000,1,0.075691
23,4933.000000,9032.000000,1,0.073573
24,3570.000000,9032.000000,1,0.063699
25,2033.000000,9190.799805,1,0.063016
26,2353.000000,9104.799805,1,0.056689
27,1839.000000,9190.799805,1,0.052089
28,1739.000000,9240.646484,1,0.047249
29,3486.000000,9032.000000,1,0.038723
