id, TFT, TEC, level, cd
0,5148.000000,9228.000000,1,0.140207
1,1886.190552,19797.636719,1,inf
2,5369.000000,9219.000000,1,inf
3,3019.209961,12697.537109,1,0.278461
4,1944.653687,16058.828125,1,0.610063
5,4994.461426,9564.584961,1,0.504131
6,2589.969482,15328.420898,1,0.422637
7,1887.033081,19646.964844,1,0.370216
8,2649.062988,13727.472656,1,0.371943
9,3886.768799,11678.348633,1,0.182374
10,3517.254150,12257.661133,1,0.177875
11,3258.407715,12632.548828,1,0.184582
12,4078.916260,11313.798828,1,0.517860
13,3679.337402,12029.396484,1,0.160859
14,5299.000000,9303.000000,2,inf
15,3059.803467,13404.582031,2,0.114142
16,3117.206055,12899.711914,2,0.227475
17,3054.972656,13467.914062,2,0.302604
18,2620.806152,15553.524414,2,inf
19,3015.424316,15192.441406,2,0.318507
20,3003.628906,15338.919922,2,0.075090
21,2891.857666,15373.404297,2,0.091389
22,2811.806641,15462.464844,2,0.130024
23,3990.640137,11919.728516,2,1.139241
24,3525.954590,12285.820312,2,0.266609
25,3522.751465,12494.188477,2,0.111395
26,3440.571045,12782.826172,2,0.091034
27,3408.793945,12797.240234,2,0.139440
28,2823.964844,16134.922852,3,inf
29,4026.385254,12350.806641,3,inf
