id, TFT, TEC, level, cd
0,4834.000000,9032.000000,1,inf
1,1320.833130,12036.193359,1,inf
2,2073.585693,10424.708984,1,0.448388
3,2125.692383,9719.722656,1,0.429002
4,2414.000000,9427.000000,1,0.350205
5,1864.398193,11717.856445,1,0.308768
6,1629.560669,11832.253906,1,0.260686
7,2068.202637,11017.606445,1,0.219133
8,1917.511475,11150.888672,1,0.210009
9,2926.000000,9352.000000,1,0.170703
10,3897.000000,9042.799805,1,0.113894
11,4156.000000,9032.000000,1,0.098202
12,4561.000000,9032.000000,1,0.090232
13,3132.076904,9306.077148,1,0.087300
14,3145.000000,9159.000000,1,0.081582
15,4742.000000,9032.000000,1,0.081303
16,3623.000000,9149.000000,1,0.079416
17,3235.000000,9149.000000,1,0.079328
18,3881.000000,9139.000000,1,0.074434
19,3064.000000,9352.000000,1,0.068536
20,2007.129395,11125.750977,1,0.060849
21,3426.000000,9149.000000,1,0.060060
22,3412.000000,9149.000000,1,0.057696
23,2052.097168,11064.652344,1,0.053382
24,4242.000000,9032.000000,1,0.050951
25,3748.000000,9139.000000,1,0.043550
26,4425.000000,9032.000000,1,0.040135
27,2945.000000,9352.000000,1,0.039281
28,1920.460693,11134.888672,1,0.033877
29,4335.000000,9032.000000,1,0.033588
