id, TFT, TEC, level, cd
0,834.184937,11988.086914,1,inf
1,4834.000000,9032.000000,1,inf
2,1216.761475,11677.464844,1,0.378341
3,2125.692383,9719.722656,1,0.374714
4,1729.193604,10594.798828,1,0.316486
5,2073.585693,10424.708984,1,0.267528
6,1376.313721,11270.342773,1,0.243776
7,1661.238037,11102.861328,1,0.209551
8,2378.000000,9542.000000,1,0.171104
9,2072.000000,10470.876953,1,0.143641
10,2573.076904,9411.077148,1,0.116880
11,2596.000000,9216.000000,1,0.115725
12,3690.000000,9032.000000,1,0.112255
13,4156.000000,9032.000000,1,0.109005
14,1556.313477,11207.790039,1,0.107200
15,3133.000000,9102.646484,1,0.097157
16,3345.000000,9042.799805,1,0.093658
17,2414.000000,9427.000000,1,0.093061
18,3899.000000,9032.000000,1,0.090504
19,3052.000000,9208.000000,1,0.084392
20,4561.000000,9032.000000,1,0.079254
21,4335.000000,9032.000000,1,0.067253
22,2772.000000,9216.000000,1,0.066459
23,4742.000000,9032.000000,1,0.065253
24,1617.880127,11131.981445,1,0.061728
25,4425.000000,9032.000000,1,0.056503
26,3794.000000,9032.000000,1,0.052252
27,2938.000000,9208.000000,1,0.050252
28,2851.000000,9208.000000,1,0.044208
29,3260.923096,9075.200195,1,0.042825
