id, TFT, TEC, level, cd
0,1762.747314,19558.871094,1,inf
1,1762.747314,19558.871094,1,inf
2,4834.000000,9032.000000,1,inf
3,1844.766479,16422.980469,1,0.341892
4,1809.564087,19194.855469,1,0.291479
5,4332.429199,10625.152344,1,0.277182
6,3839.112549,10866.296875,1,0.234502
7,2144.640869,15667.041016,1,0.191690
8,3019.209961,12697.537109,1,0.177279
9,2814.134277,13319.193359,1,0.168359
10,2441.703613,13461.964844,1,0.163867
11,2165.931396,14431.923828,1,0.152918
12,3224.781738,11942.714844,1,0.150729
13,4532.985352,10326.720703,1,0.146350
14,4635.000000,9233.000000,1,0.141926
15,3395.520996,11366.056641,1,0.120775
16,3685.991943,10878.030273,1,0.107314
17,2002.141479,15888.419922,1,0.102334
18,1944.653687,16058.828125,1,0.102022
19,3362.283203,11788.748047,1,0.098282
20,2346.395020,13797.941406,1,0.096046
21,2994.355957,13019.112305,1,0.092294
22,2194.938965,13932.934570,1,0.090328
23,2852.647461,13098.201172,1,0.087186
24,3515.870850,11043.796875,1,0.084594
25,4586.000000,9676.000000,1,0.084414
26,3538.871094,10966.888672,1,0.071138
27,2438.280273,13755.937500,1,0.062949
28,3252.810547,11911.512695,1,0.059397
29,2188.969238,14209.230469,1,0.056846
