id, TFT, TEC, level, cd
0,139.062469,11829.241211,1,inf
1,5260.000000,9032.000000,1,inf
2,333.715851,11776.093750,1,0.338773
3,722.241821,11200.164062,1,0.314417
4,913.236084,10916.486328,1,0.313873
5,991.258057,10377.787109,1,0.307729
6,1301.692383,10007.968750,1,0.241590
7,1433.692383,9664.200195,1,0.213678
8,1113.538574,10165.107422,1,0.192829
9,850.303101,11178.771484,1,0.138710
10,1623.000000,9585.769531,1,0.133926
11,1645.000000,9405.000000,1,0.124008
12,3899.000000,9032.000000,1,0.099201
13,3032.000000,9102.646484,1,0.098501
14,2829.000000,9114.799805,1,0.095750
15,4335.000000,9032.000000,1,0.093147
16,3648.000000,9032.000000,1,0.092952
17,4904.000000,9032.000000,1,0.092561
18,3260.923096,9075.200195,1,0.091957
19,3423.000000,9059.000000,1,0.091031
20,4156.000000,9032.000000,1,0.085141
21,1766.000000,9317.000000,1,0.083794
22,2675.000000,9175.476562,1,0.081678
23,2249.000000,9317.000000,1,0.074692
24,4633.000000,9032.000000,1,0.072057
25,2459.000000,9314.000000,1,0.071047
26,5178.000000,9032.000000,1,0.069519
27,2082.000000,9317.000000,1,0.065613
28,2596.000000,9216.000000,1,0.062735
29,2492.000000,9251.000000,1,0.061787
