id, TFT, TEC, level, cd
0,5304.000000,9032.000000,1,inf
1,139.062469,11829.241211,1,inf
2,239.846130,10946.640625,1,0.355933
3,427.518951,9899.579102,1,0.172332
4,640.769226,9554.799805,1,0.238802
5,616.000000,9758.984375,1,0.124514
6,4433.000000,9032.000000,1,0.124300
7,3899.000000,9032.000000,1,0.113457
8,3078.000000,9032.000000,1,0.110155
9,3570.000000,9032.000000,1,0.109779
10,4156.000000,9032.000000,1,0.103389
11,2354.000000,9042.799805,1,0.103307
12,4798.000000,9032.000000,1,0.096807
13,2153.000000,9082.646484,1,0.090012
14,3332.000000,9032.000000,1,0.095258
15,2783.000000,9042.799805,1,0.093891
16,1687.000000,9240.646484,1,0.160965
17,590.000000,9875.599609,1,0.086754
18,1830.000000,9104.799805,1,0.038898
19,2613.000000,9042.799805,1,0.083060
20,4933.000000,9032.000000,1,0.073573
21,5178.000000,9032.000000,1,0.071830
22,1930.000000,9082.646484,1,0.076782
23,1745.000000,9221.799805,1,0.057529
24,1696.000000,9225.646484,1,0.017967
25,259.846130,10899.025391,1,0.278355
26,972.000000,9283.799805,1,0.314872
27,331.769226,10217.799805,1,0.389761
28,1770.000000,9104.799805,1,0.058284
29,3195.000000,9042.799805,2,inf
